torneo,fecha,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,fouls_local,corners_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,fouls_visitante,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante
Apertura 2011,15,8,San Lorenzo,Union,0,1,,,,,,,,,,,,,,
Apertura 2011,15,9,Lanus,Arsenal,0,1,,,,,,,,,,,,,,
Apertura 2011,15,10,Estudiantes (LP),Banfield,2,1,,,,,,,,,,,,,,
Apertura 2011,16,1,Tigre,Atl Rafaela,3,0,,,,,,,,,,,,,,
Apertura 2011,16,2,All Boys,Lanus,0,0,,,,,,,,,,,,,,
Apertura 2011,16,3,Olimpo,San Martin (SJ),0,3,,,,,,,,,,,,,,
Apertura 2011,16,4,Newells,San Lorenzo,0,0,,,,,,,,,,,,,,
Apertura 2011,16,5,Racing Club,Belgrano,2,3,,,,,,,,,,,,,,
Apertura 2011,16,6,Godoy Cruz,Boca Juniors,1,2,,,,,,,,,,,,,,
Apertura 2011,16,7,Banfield,Argentinos,2,2,,,,,,,,,,,,,,
Apertura 2011,16,8,Arsenal,Estudiantes (LP),1,2,,,,,,,,,,,,,,
Apertura 2011,16,9,Velez,Colon,1,1,,,,,,,,,,,,,,
Apertura 2011,16,10,Union,Independiente,0,0,,,,,,,,,,,,,,
Apertura 2011,17,1,Estudiantes (LP),All Boys,3,0,,,,,,,,,,,,,,
Apertura 2011,17,2,Argentinos,Arsenal,2,1,,,,,,,,,,,,,,
Apertura 2011,17,3,San Martin (SJ),Union,2,0,,,,,,,,,,,,,,
Apertura 2011,17,4,Lanus,Olimpo,0,0,,,,,,,,,,,,,,
Apertura 2011,17,5,Colon,Racing Club,0,2,,,,,,,,,,,,,,
Apertura 2011,17,6,Atl Rafaela,Velez,2,0,,,,,,,,,,,,,,
Apertura 2011,17,7,Boca Juniors,Banfield,3,0,,,,,,,,,,,,,,
Apertura 2011,17,8,Belgrano,Godoy Cruz,1,1,,,,,,,,,,,,,,
Apertura 2011,17,9,Independiente,Newells,1,1,,,,,,,,,,,,,,
Apertura 2011,17,10,San Lorenzo,Tigre,1,0,,,,,,,,,,,,,,
Apertura 2011,18,1,All Boys,Argentinos,1,0,,,,,,,,,,,,,,
Apertura 2011,18,2,Olimpo,Estudiantes (LP),0,0,,,,,,,,,,,,,,
Apertura 2011,18,3,Union,Lanus,0,1,,,,,,,,,,,,,,
Apertura 2011,18,4,Racing Club,Atl Rafaela,1,0,,,,,,,,,,,,,,
Apertura 2011,18,5,Godoy Cruz,Colon,0,1,,,,,,,,,,,,,,
Apertura 2011,18,6,Arsenal,Boca Juniors,2,2,,,,,,,,,,,,,,
Apertura 2011,18,7,Banfield,Belgrano,0,2,,,,,,,,,,,,,,
Apertura 2011,18,8,Tigre,Velez,1,3,,,,,,,,,,,,,,
Apertura 2011,18,9,Newells,San Martin (SJ),0,0,,,,,,,,,,,,,,
Apertura 2011,18,10,San Lorenzo,Independiente,0,1,,,,,,,,,,,,,,
Apertura 2011,19,1,Estudiantes (LP),Union,2,0,,,,,,,,,,,,,,
Apertura 2011,19,2,Argentinos,Olimpo,1,0,,,,,,,,,,,,,,
Apertura 2011,19,3,Boca Juniors,All Boys,1,0,,,,,,,,,,,,,,
Apertura 2011,19,4,Belgrano,Arsenal,1,0,,,,,,,,,,,,,,
Apertura 2011,19,5,San Martin (SJ),San Lorenzo,1,0,,,,,,,,,,,,,,
Apertura 2011,19,6,Lanus,Newells,2,2,,,,,,,,,,,,,,
Apertura 2011,19,7,Colon,Banfield,4,1,,,,,,,,,,,,,,
Apertura 2011,19,8,Atl Rafaela,Godoy Cruz,0,2,,,,,,,,,,,,,,
Apertura 2011,19,9,Velez,Racing Club,1,0,,,,,,,,,,,,,,
Apertura 2011,19,10,Independiente,Tigre,2,1,,,,,,,,,,,,,,
Clausura 2012,1,1,Boca Juniors,Olimpo,2,0,,,,,,,,,,,,,,
Clausura 2012,1,2,Lanus,San Lorenzo,4,1,,,,,,,,,,,,,,
Clausura 2012,1,3,Estudiantes (LP),Newells,1,1,,,,,,,,,,,,,,
Clausura 2012,1,4,Belgrano,All Boys,0,0,,,,,,,,,,,,,,
Clausura 2012,1,5,San Martin (SJ),Independiente,1,0,,,,,,,,,,,,,,
Clausura 2012,1,6,Atl Rafaela,Banfield,3,0,,,,,,,,,,,,,,
Clausura 2012,1,7,Racing Club,Tigre,0,0,,,,,,,,,,,,,,
Clausura 2012,1,8,Velez,Godoy Cruz,1,1,,,,,,,,,,,,,,
Clausura 2012,1,9,Argentinos,Union,0,0,,,,,,,,,,,,,,
Clausura 2012,1,10,Colon,Arsenal,0,0,,,,,,,,,,,,,,
Clausura 2012,2,1,Olimpo,Belgrano,4,1,,,,,,,,,,,,,,
Clausura 2012,2,2,Banfield,Velez,0,4,,,,,,,,,,,,,,
Clausura 2012,2,3,Newells,Argentinos,1,0,,,,,,,,,,,,,,
Clausura 2012,2,4,Arsenal,Atl Rafaela,2,2,,,,,,,,,,,,,,
Clausura 2012,2,5,All Boys,Colon,2,0,,,,,,,,,,,,,,
Clausura 2012,2,6,San Lorenzo,Estudiantes (LP),1,1,,,,,,,,,,,,,,
Clausura 2012,2,7,Independiente,Lanus,0,1,,,,,,,,,,,,,,
Clausura 2012,2,8,Union,Boca Juniors,0,0,,,,,,,,,,,,,,
Clausura 2012,2,9,Godoy Cruz,Racing Club,1,0,,,,,,,,,,,,,,
Clausura 2012,2,10,Tigre,San Martin (SJ),3,1,,,,,,,,,,,,,,
Clausura 2012,3,1,Belgrano,Union,1,0,,,,,,,,,,,,,,
Clausura 2012,3,2,Atl Rafaela,All Boys,0,1,,,,,,,,,,,,,,
Clausura 2012,3,3,Estudiantes (LP),Independiente,2,0,,,,,,,,,,,,,,
Clausura 2012,3,4,Colon,Olimpo,3,1,,,,,,,,,,,,,,
Clausura 2012,3,5,Argentinos,San Lorenzo,0,1,,,,,,,,,,,,,,
Clausura 2012,3,6,Godoy Cruz,Tigre,0,2,,,,,,,,,,,,,,
Clausura 2012,3,7,Racing Club,Banfield,1,2,,,,,,,,,,,,,,
Clausura 2012,3,8,Velez,Arsenal,3,2,,,,,,,,,,,,,,
Clausura 2012,3,9,Boca Juniors,Newells,2,0,,,,,,,,,,,,,,
Clausura 2012,3,10,Lanus,San Martin (SJ),1,3,,,,,,,,,,,,,,
Clausura 2012,4,1,Newells,Belgrano,0,2,,,,,,,,,,,,,,
Clausura 2012,4,2,Banfield,Godoy Cruz,1,1,,,,,,,,,,,,,,
Clausura 2012,4,3,All Boys,Velez,0,0,,,,,,,,,,,,,,
Clausura 2012,4,4,Independiente,Argentinos,1,3,,,,,,,,,,,,,,
Clausura 2012,4,5,San Martin (SJ),Estudiantes (LP),0,1,,,,,,,,,,,,,,
Clausura 2012,4,6,San Lorenzo,Boca Juniors,0,2,,,,,,,,,,,,,,
Clausura 2012,4,7,Union,Colon,2,2,,,,,,,,,,,,,,
Clausura 2012,4,8,Arsenal,Racing Club,0,0,,,,,,,,,,,,,,
Clausura 2012,4,9,Tigre,Lanus,1,0,,,,,,,,,,,,,,
Clausura 2012,4,10,Olimpo,Atl Rafaela,2,1,,,,,,,,,,,,,,
Clausura 2012,5,1,Colon,Newells,0,3,,,,,,,,,,,,,,
Clausura 2012,5,2,Estudiantes (LP),Lanus,1,0,,,,,,,,,,,,,,
Clausura 2012,5,3,Argentinos,San Martin (SJ),1,1,,,,,,,,,,,,,,
Clausura 2012,5,4,Racing Club,All Boys,3,0,,,,,,,,,,,,,,
Clausura 2012,5,5,Belgrano,San Lorenzo,1,2,,,,,,,,,,,,,,
Clausura 2012,5,6,Banfield,Tigre,0,2,,,,,,,,,,,,,,
Clausura 2012,5,7,Godoy Cruz,Arsenal,0,1,,,,,,,,,,,,,,
Clausura 2012,5,8,Boca Juniors,Independiente,4,5,,,,,,,,,,,,,,
Clausura 2012,5,9,Atl Rafaela,Union,0,2,,,,,,,,,,,,,,
Clausura 2012,5,10,Velez,Olimpo,1,0,,,,,,,,,,,,,,
Clausura 2012,6,1,Lanus,Argentinos,0,1,,,,,,,,,,,,,,
Clausura 2012,6,2,All Boys,Godoy Cruz,1,1,,,,,,,,,,,,,,
Clausura 2012,6,3,Tigre,Estudiantes (LP),1,1,,,,,,,,,,,,,,
Clausura 2012,6,4,Union,Velez,3,3,,,,,,,,,,,,,,
Clausura 2012,6,5,Independiente,Belgrano,2,0,,,,,,,,,,,,,,
Clausura 2012,6,6,Olimpo,Racing Club,0,3,,,,,,,,,,,,,,
Clausura 2012,6,7,San Lorenzo,Colon,1,1,,,,,,,,,,,,,,
Clausura 2012,6,8,Newells,Atl Rafaela,1,0,,,,,,,,,,,,,,
Clausura 2012,6,9,San Martin (SJ),Boca Juniors,0,1,,,,,,,,,,,,,,
Clausura 2012,6,10,Arsenal,Banfield,1,0,,,,,,,,,,,,,,
Clausura 2012,7,1,Banfield,All Boys,0,0,,,,,,,,,,,,,,
Clausura 2012,7,2,Atl Rafaela,San Lorenzo,2,1,,,,,,,,,,,,,,
Clausura 2012,7,3,Racing Club,Union,0,3,,,,,,,,,,,,,,
Clausura 2012,7,4,Belgrano,San Martin (SJ),1,1,,,,,,,,,,,,,,
Clausura 2012,7,5,Argentinos,Estudiantes (LP),1,2,,,,,,,,,,,,,,
Clausura 2012,7,6,Colon,Independiente,3,0,,,,,,,,,,,,,,
Clausura 2012,7,7,Arsenal,Tigre,1,0,,,,,,,,,,,,,,
Clausura 2012,7,8,Boca Juniors,Lanus,2,2,,,,,,,,,,,,,,
Clausura 2012,7,9,Godoy Cruz,Olimpo,1,1,,,,,,,,,,,,,,
Clausura 2012,7,10,Velez,Newells,0,1,,,,,,,,,,,,,,
Clausura 2012,8,1,Lanus,Belgrano,0,1,,,,,,,,,,,,,,
Clausura 2012,8,2,Olimpo,Banfield,2,5,,,,,,,,,,,,,,
Clausura 2012,8,3,Union,Godoy Cruz,1,1,,,,,,,,,,,,,,
Clausura 2012,8,4,Tigre,Argentinos,1,2,,,,,,,,,,,,,,
Clausura 2012,8,5,Independiente,Atl Rafaela,2,0,,,,,,,,,,,,,,
Clausura 2012,8,6,San Lorenzo,Velez,0,2,,,,,,,,,,,,,,
Clausura 2012,8,7,All Boys,Arsenal,0,2,,,,,,,,,,,,,,
Clausura 2012,8,8,Newells,Racing Club,2,0,,,,,,,,,,,,,,
Clausura 2012,8,9,San Martin (SJ),Colon,2,2,,,,,,,,,,,,,,
Clausura 2012,8,10,Estudiantes (LP),Boca Juniors,0,3,,,,,,,,,,,,,,
Clausura 2012,9,1,Arsenal,Olimpo,2,1,,,,,,,,,,,,,,
Clausura 2012,9,2,Velez,Independiente,1,1,,,,,,,,,,,,,,
Clausura 2012,9,3,Banfield,Union,2,2,,,,,,,,,,,,,,
Clausura 2012,9,4,Colon,Lanus,1,0,,,,,,,,,,,,,,
Clausura 2012,9,5,Boca Juniors,Argentinos,2,1,,,,,,,,,,,,,,
Clausura 2012,9,6,Atl Rafaela,San Martin (SJ),3,1,,,,,,,,,,,,,,
Clausura 2012,9,7,All Boys,Tigre,2,0,,,,,,,,,,,,,,
Clausura 2012,9,8,Belgrano,Estudiantes (LP),2,1,,,,,,,,,,,,,,
Clausura 2012,9,9,Godoy Cruz,Newells,1,1,,,,,,,,,,,,,,
Clausura 2012,9,10,Racing Club,San Lorenzo,1,1,,,,,,,,,,,,,,
Clausura 2012,10,1,Estudiantes (LP),Colon,2,2,,,,,,,,,,,,,,
Clausura 2012,10,2,Independiente,Racing Club,4,1,,,,,,,,,,,,,,
Clausura 2012,10,3,Olimpo,All Boys,1,2,,,,,,,,,,,,,,
Clausura 2012,10,4,San Lorenzo,Godoy Cruz,3,0,,,,,,,,,,,,,,
Clausura 2012,10,5,San Martin (SJ),Velez,1,3,,,,,,,,,,,,,,
Clausura 2012,10,6,Newells,Banfield,3,0,,,,,,,,,,,,,,
Clausura 2012,10,7,Argentinos,Belgrano,0,0,,,,,,,,,,,,,,
Clausura 2012,10,8,Union,Arsenal,1,0,,,,,,,,,,,,,,
Clausura 2012,10,9,Tigre,Boca Juniors,2,1,,,,,,,,,,,,,,
Clausura 2012,10,10,Lanus,Atl Rafaela,1,0,,,,,,,,,,,,,,
Clausura 2012,11,1,Tigre,Olimpo,1,0,,,,,,,,,,,,,,
Clausura 2012,11,2,Colon,Argentinos,1,0,,,,,,,,,,,,,,
Clausura 2012,11,3,Atl Rafaela,Estudiantes (LP),3,2,,,,,,,,,,,,,,
Clausura 2012,11,4,Velez,Lanus,0,0,,,,,,,,,,,,,,
Clausura 2012,11,5,Racing Club,San Martin (SJ),1,0,,,,,,,,,,,,,,
Clausura 2012,11,6,All Boys,Union,2,1,,,,,,,,,,,,,,
Clausura 2012,11,7,Banfield,San Lorenzo,1,1,,,,,,,,,,,,,,
Clausura 2012,11,8,Godoy Cruz,Independiente,0,0,,,,,,,,,,,,,,
Clausura 2012,11,9,Belgrano,Boca Juniors,1,1,,,,,,,,,,,,,,
Clausura 2012,11,10,Arsenal,Newells,1,1,,,,,,,,,,,,,,
Clausura 2012,12,1,Estudiantes (LP),Velez,0,2,,,,,,,,,,,,,,
Clausura 2012,12,2,Lanus,Racing Club,3,1,,,,,,,,,,,,,,
Clausura 2012,12,3,San Martin (SJ),Godoy Cruz,1,0,,,,,,,,,,,,,,
Clausura 2012,12,4,Newells,All Boys,1,1,,,,,,,,,,,,,,
Clausura 2012,12,5,Boca Juniors,Colon,1,0,,,,,,,,,,,,,,
Clausura 2012,12,6,Independiente,Banfield,2,0,,,,,,,,,,,,,,
Clausura 2012,12,7,Union,Olimpo,2,0,,,,,,,,,,,,,,
Clausura 2012,12,8,San Lorenzo,Arsenal,2,0,,,,,,,,,,,,,,
Clausura 2012,12,9,Argentinos,Atl Rafaela,0,0,,,,,,,,,,,,,,
Clausura 2012,12,10,Belgrano,Tigre,1,1,,,,,,,,,,,,,,
Clausura 2012,13,1,Banfield,San Martin (SJ),1,2,,,,,,,,,,,,,,
Clausura 2012,13,2,Arsenal,Independiente,3,1,,,,,,,,,,,,,,
Clausura 2012,13,3,Velez,Argentinos,0,2,,,,,,,,,,,,,,
Clausura 2012,13,4,Tigre,Union,4,0,,,,,,,,,,,,,,
Clausura 2012,13,5,Godoy Cruz,Lanus,0,1,,,,,,,,,,,,,,
Clausura 2012,13,6,All Boys,San Lorenzo,0,0,,,,,,,,,,,,,,
Clausura 2012,13,7,Olimpo,Newells,1,2,,,,,,,,,,,,,,
Clausura 2012,13,8,Racing Club,Estudiantes (LP),2,0,,,,,,,,,,,,,,
Clausura 2012,13,9,Atl Rafaela,Boca Juniors,2,2,,,,,,,,,,,,,,
Clausura 2012,13,10,Colon,Belgrano,2,0,,,,,,,,,,,,,,
Clausura 2012,14,1,San Martin (SJ),Arsenal,1,4,,,,,,,,,,,,,,
Clausura 2012,14,2,Estudiantes (LP),Godoy Cruz,1,0,,,,,,,,,,,,,,
Clausura 2012,14,3,Newells,Union,3,1,,,,,,,,,,,,,,
Clausura 2012,14,4,Independiente,All Boys,0,3,,,,,,,,,,,,,,
Clausura 2012,14,5,Belgrano,Atl Rafaela,1,1,,,,,,,,,,,,,,
Clausura 2012,14,6,San Lorenzo,Olimpo,1,1,,,,,,,,,,,,,,
Clausura 2012,14,7,Lanus,Banfield,2,1,,,,,,,,,,,,,,
Clausura 2012,14,8,Colon,Tigre,1,1,,,,,,,,,,,,,,
Clausura 2012,14,9,Argentinos,Racing Club,2,1,,,,,,,,,,,,,,
Clausura 2012,14,10,Boca Juniors,Velez,0,0,,,,,,,,,,,,,,
Clausura 2012,15,1,Godoy Cruz,Argentinos,1,1,,,,,,,,,,,,,,
Clausura 2012,15,2,Tigre,Newells,3,1,,,,,,,,,,,,,,
Clausura 2012,15,3,Banfield,Estudiantes (LP),0,3,,,,,,,,,,,,,,
Clausura 2012,15,4,All Boys,San Martin (SJ),1,0,,,,,,,,,,,,,,
Clausura 2012,15,5,Union,San Lorenzo,1,0,,,,,,,,,,,,,,
Clausura 2012,15,6,Olimpo,Independiente,2,1,,,,,,,,,,,,,,
Clausura 2012,15,7,Velez,Belgrano,0,1,,,,,,,,,,,,,,
Clausura 2012,15,8,Atl Rafaela,Colon,0,0,,,,,,,,,,,,,,
Clausura 2012,15,9,Racing Club,Boca Juniors,0,2,,,,,,,,,,,,,,
Clausura 2012,15,10,Arsenal,Lanus,3,1,,,,,,,,,,,,,,
Clausura 2012,16,1,San Martin (SJ),Olimpo,3,2,,,,,,,,,,,,,,
Clausura 2012,16,2,Lanus,All Boys,1,0,,,,,,,,,,,,,,
Clausura 2012,16,3,Argentinos,Banfield,1,0,,,,,,,,,,,,,,
Clausura 2012,16,4,Belgrano,Racing Club,0,1,,,,,,,,,,,,,,
Clausura 2012,16,5,Atl Rafaela,Tigre,1,1,,,,,,,,,,,,,,
Clausura 2012,16,6,San Lorenzo,Newells,3,2,,,,,,,,,,,,,,
Clausura 2012,16,7,Independiente,Union,0,0,,,,,,,,,,,,,,
Clausura 2012,16,8,Boca Juniors,Godoy Cruz,3,0,,,,,,,,,,,,,,
Clausura 2012,16,9,Estudiantes (LP),Arsenal,1,1,,,,,,,,,,,,,,
Clausura 2012,16,10,Colon,Velez,0,2,,,,,,,,,,,,,,
Clausura 2012,17,1,Arsenal,Argentinos,3,1,,,,,,,,,,,,,,
Clausura 2012,17,2,Banfield,Boca Juniors,1,1,,,,,,,,,,,,,,
Clausura 2012,17,3,Union,San Martin (SJ),0,0,,,,,,,,,,,,,,
Clausura 2012,17,4,Newells,Independiente,2,1,,,,,,,,,,,,,,
Clausura 2012,17,5,Velez,Atl Rafaela,2,1,,,,,,,,,,,,,,
Clausura 2012,17,6,Tigre,San Lorenzo,3,1,,,,,,,,,,,,,,
Clausura 2012,17,7,All Boys,Estudiantes (LP),3,1,,,,,,,,,,,,,,
Clausura 2012,17,8,Olimpo,Lanus,2,2,,,,,,,,,,,,,,
Clausura 2012,17,9,Godoy Cruz,Belgrano,2,1,,,,,,,,,,,,,,
Clausura 2012,17,10,Racing Club,Colon,1,1,,,,,,,,,,,,,,
Clausura 2012,18,1,Lanus,Union,0,0,,,,,,,,,,,,,,
Clausura 2012,18,2,San Martin (SJ),Newells,2,1,,,,,,,,,,,,,,
Clausura 2012,18,3,Belgrano,Banfield,3,1,,,,,,,,,,,,,,
Clausura 2012,18,4,Estudiantes (LP),Olimpo,1,0,,,,,,,,,,,,,,
Clausura 2012,18,5,Velez,Tigre,0,1,,,,,,,,,,,,,,
Clausura 2012,18,6,Independiente,San Lorenzo,0,0,,,,,,,,,,,,,,
Clausura 2012,18,7,Argentinos,All Boys,1,0,,,,,,,,,,,,,,
Clausura 2012,18,8,Atl Rafaela,Racing Club,4,2,,,,,,,,,,,,,,
Clausura 2012,18,9,Boca Juniors,Arsenal,0,3,,,,,,,,,,,,,,
Clausura 2012,18,10,Colon,Godoy Cruz,2,0,,,,,,,,,,,,,,
Clausura 2012,19,1,Olimpo,Argentinos,0,0,,,,,,,,,,,,,,
Clausura 2012,19,2,Newells,Lanus,0,0,,,,,,,,,,,,,,
Clausura 2012,19,3,Racing Club,Velez,1,2,,,,,,,,,,,,,,
Clausura 2012,19,4,Arsenal,Belgrano,1,0,,,,,,,,,,,,,,
Clausura 2012,19,5,Tigre,Independiente,2,2,,,,,,,,,,,,,,
Clausura 2012,19,6,All Boys,Boca Juniors,3,1,,,,,,,,,,,,,,
Clausura 2012,19,7,Godoy Cruz,Atl Rafaela,1,3,,,,,,,,,,,,,,
Clausura 2012,19,8,San Lorenzo,San Martin (SJ),3,1,,,,,,,,,,,,,,
Clausura 2012,19,9,Union,Estudiantes (LP),2,2,,,,,,,,,,,,,,
Clausura 2012,19,10,Banfield,Colon,0,3,,,,,,,,,,,,,,
Inicial 2012,1,1,Arsenal,Union,1,0,,,,,,,,,,,,,,
Inicial 2012,1,2,Velez,Argentinos,3,0,,,,,,,,,,,,,,
Inicial 2012,1,3,Racing Club,Atl Rafaela,1,1,,,,,,,,,,,,,,
Inicial 2012,1,4,Colon,Lanus,1,0,,,,,,,,,,,,,,
Inicial 2012,1,5,Quilmes,Boca Juniors,3,0,,,,,,,,,,,,,,
Inicial 2012,1,6,Newells,Independiente,0,0,,,,,,,,,,,,,,
Inicial 2012,1,7,Godoy Cruz,All Boys,1,1,,,,,,,,,,,,,,
Inicial 2012,1,8,San Lorenzo,San Martin (SJ),2,1,,,,,,,,,,,,,,
Inicial 2012,1,9,River Plate,Belgrano,1,2,,,,,,,,,,,,,,
Inicial 2012,1,10,Tigre,Estudiantes (LP),1,2,,,,,,,,,,,,,,
Inicial 2012,2,1,San Martin (SJ),Colon,0,1,,,,,,,,,,,,,,
Inicial 2012,2,2,Lanus,Newells,0,1,,,,,,,,,,,,,,
Inicial 2012,2,3,Estudiantes (LP),River Plate,0,2,,,,,,,,,,,,,,
Inicial 2012,2,4,All Boys,Quilmes,1,1,,,,,,,,,,,,,,
Inicial 2012,2,5,Belgrano,San Lorenzo,0,0,,,,,,,,,,,,,,
Inicial 2012,2,6,Argentinos,Racing Club,0,2,,,,,,,,,,,,,,
Inicial 2012,2,7,Union,Godoy Cruz,0,1,,,,,,,,,,,,,,
Inicial 2012,2,8,Boca Juniors,Tigre,2,0,,,,,,,,,,,,,,
Inicial 2012,2,9,Atl Rafaela,Arsenal,0,0,,,,,,,,,,,,,,
Inicial 2012,2,10,Independiente,Velez,0,0,,,,,,,,,,,,,,
Inicial 2012,3,1,Boca Juniors,All Boys,3,1,,,,,,,,,,,,,,
Inicial 2012,3,2,Colon,Belgrano,2,2,,,,,,,,,,,,,,
Inicial 2012,3,3,San Lorenzo,Estudiantes (LP),0,1,,,,,,,,,,,,,,
Inicial 2012,3,4,Racing Club,Independiente,2,0,,,,,,,,,,,,,,
Inicial 2012,3,5,Godoy Cruz,Atl Rafaela,2,0,,,,,,,,,,,,,,
Inicial 2012,3,6,Velez,Lanus,0,2,,,,,,,,,,,,,,
Inicial 2012,3,7,Tigre,River Plate,2,3,,,,,,,,,,,,,,
Inicial 2012,3,8,Quilmes,Union,2,1,,,,,,,,,,,,,,
Inicial 2012,3,9,Arsenal,Argentinos,2,2,,,,,,,,,,,,,,
Inicial 2012,3,10,Newells,San Martin (SJ),2,0,,,,,,,,,,,,,,
Inicial 2012,4,1,All Boys,Tigre,2,2,,,,,,,,,,,,,,
Inicial 2012,4,2,Union,Boca Juniors,1,2,,,,,,,,,,,,,,
Inicial 2012,4,3,Argentinos,Godoy Cruz,2,1,,,,,,,,,,,,,,
Inicial 2012,4,4,Independiente,Arsenal,0,2,,,,,,,,,,,,,,
Inicial 2012,4,5,Atl Rafaela,Quilmes,1,1,,,,,,,,,,,,,,
Inicial 2012,4,6,Belgrano,Newells,0,0,,,,,,,,,,,,,,
Inicial 2012,4,7,Lanus,Racing Club,1,1,,,,,,,,,,,,,,
Inicial 2012,4,8,San Martin (SJ),Velez,0,3,,,,,,,,,,,,,,
Inicial 2012,4,9,River Plate,San Lorenzo,0,0,,,,,,,,,,,,,,
Inicial 2012,4,10,Estudiantes (LP),Colon,1,2,,,,,,,,,,,,,,
Inicial 2012,5,1,All Boys,Union,3,1,,,,,,,,,,,,,,
Inicial 2012,5,2,Newells,Estudiantes (LP),1,0,,,,,,,,,,,,,,
Inicial 2012,5,3,Arsenal,Lanus,1,0,,,,,,,,,,,,,,
Inicial 2012,5,4,Velez,Belgrano,2,1,,,,,,,,,,,,,,
Inicial 2012,5,5,Tigre,San Lorenzo,1,1,,,,,,,,,,,,,,
Inicial 2012,5,6,Boca Juniors,Atl Rafaela,2,1,,,,,,,,,,,,,,
Inicial 2012,5,7,Godoy Cruz,Independiente,2,1,,,,,,,,,,,,,,
Inicial 2012,5,8,Colon,River Plate,1,1,,,,,,,,,,,,,,
Inicial 2012,5,9,Quilmes,Argentinos,0,1,,,,,,,,,,,,,,
Inicial 2012,5,10,Racing Club,San Martin (SJ),3,1,,,,,,,,,,,,,,
Inicial 2012,6,1,San Martin (SJ),Arsenal,4,0,,,,,,,,,,,,,,
Inicial 2012,6,2,Atl Rafaela,All Boys,2,1,,,,,,,,,,,,,,
Inicial 2012,6,3,Estudiantes (LP),Velez,0,0,,,,,,,,,,,,,,
Inicial 2012,6,4,San Lorenzo,Colon,2,1,,,,,,,,,,,,,,
Inicial 2012,6,5,Argentinos,Boca Juniors,1,1,,,,,,,,,,,,,,
Inicial 2012,6,6,Belgrano,Racing Club,1,0,,,,,,,,,,,,,,
Inicial 2012,6,7,Independiente,Quilmes,1,1,,,,,,,,,,,,,,
Inicial 2012,6,8,River Plate,Newells,3,3,,,,,,,,,,,,,,
Inicial 2012,6,9,Union,Tigre,1,1,,,,,,,,,,,,,,
Inicial 2012,6,10,Lanus,Godoy Cruz,2,0,,,,,,,,,,,,,,
Inicial 2012,7,1,Tigre,Colon,2,2,,,,,,,,,,,,,,
Inicial 2012,7,2,All Boys,Argentinos,0,1,,,,,,,,,,,,,,
Inicial 2012,7,3,Godoy Cruz,San Martin (SJ),1,0,,,,,,,,,,,,,,
Inicial 2012,7,4,Racing Club,Estudiantes (LP),0,1,,,,,,,,,,,,,,
Inicial 2012,7,5,Boca Juniors,Independiente,2,1,,,,,,,,,,,,,,
Inicial 2012,7,6,Newells,San Lorenzo,1,0,,,,,,,,,,,,,,
Inicial 2012,7,7,Arsenal,Belgrano,0,2,,,,,,,,,,,,,,
Inicial 2012,7,8,Velez,River Plate,2,0,,,,,,,,,,,,,,
Inicial 2012,7,9,Union,Atl Rafaela,0,0,,,,,,,,,,,,,,
Inicial 2012,7,10,Quilmes,Lanus,0,0,,,,,,,,,,,,,,
Inicial 2012,8,1,Belgrano,Godoy Cruz,1,0,,,,,,,,,,,,,,
Inicial 2012,8,2,Atl Rafaela,Tigre,3,0,,,,,,,,,,,,,,
Inicial 2012,8,3,Argentinos,Union,3,3,,,,,,,,,,,,,,
Inicial 2012,8,4,San Lorenzo,Velez,1,2,,,,,,,,,,,,,,
Inicial 2012,8,5,Independiente,All Boys,1,1,,,,,,,,,,,,,,
Inicial 2012,8,6,River Plate,Racing Club,0,1,,,,,,,,,,,,,,
Inicial 2012,8,7,San Martin (SJ),Quilmes,4,0,,,,,,,,,,,,,,
Inicial 2012,8,8,Colon,Newells,1,2,,,,,,,,,,,,,,
Inicial 2012,8,9,Lanus,Boca Juniors,2,0,,,,,,,,,,,,,,
Inicial 2012,8,10,Estudiantes (LP),Arsenal,2,1,,,,,,,,,,,,,,
Inicial 2012,9,1,Quilmes,Belgrano,1,1,,,,,,,,,,,,,,
Inicial 2012,9,2,All Boys,Lanus,2,1,,,,,,,,,,,,,,
Inicial 2012,9,3,Godoy Cruz,Estudiantes (LP),1,0,,,,,,,,,,,,,,
Inicial 2012,9,4,Atl Rafaela,Argentinos,5,3,,,,,,,,,,,,,,
Inicial 2012,9,5,Racing Club,San Lorenzo,4,0,,,,,,,,,,,,,,
Inicial 2012,9,6,Tigre,Newells,0,0,,,,,,,,,,,,,,
Inicial 2012,9,7,Arsenal,River Plate,0,4,,,,,,,,,,,,,,
Inicial 2012,9,8,Velez,Colon,2,4,,,,,,,,,,,,,,
Inicial 2012,9,9,Union,Independiente,1,2,,,,,,,,,,,,,,
Inicial 2012,9,10,Boca Juniors,San Martin (SJ),1,1,,,,,,,,,,,,,,
Inicial 2012,10,1,Lanus,Union,2,0,,,,,,,,,,,,,,
Inicial 2012,10,2,Argentinos,Tigre,0,0,,,,,,,,,,,,,,
Inicial 2012,10,3,San Martin (SJ),All Boys,2,1,,,,,,,,,,,,,,
Inicial 2012,10,4,San Lorenzo,Arsenal,0,0,,,,,,,,,,,,,,
