torneo,fecha,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,fouls_local,corners_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,fouls_visitante,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante
Apertura 2009,7,3,Huracan,Racing Club,3,1,,,,,,,,,,,,,,
Apertura 2009,7,4,Argentinos,Estudiantes (LP),1,0,,,,,,,,,,,,,,
Apertura 2009,7,5,Arsenal,Rosario Central,1,0,,,,,,,,,,,,,,
Apertura 2009,7,6,Newells,Atl Tucuman,3,0,,,,,,,,,,,,,,
Apertura 2009,7,7,Gimnasia (LP),Chacarita,2,0,,,,,,,,,,,,,,
Apertura 2009,7,8,San Lorenzo,River Plate,2,1,,,,,,,,,,,,,,
Apertura 2009,7,9,Boca Juniors,Velez,3,2,,,,,,,,,,,,,,
Apertura 2009,7,10,Lanus,Godoy Cruz,1,0,,,,,,,,,,,,,,
Apertura 2009,8,1,Tigre,Huracan,2,2,,,,,,,,,,,,,,
Apertura 2009,8,2,Banfield,Atl Tucuman,1,1,,,,,,,,,,,,,,
Apertura 2009,8,3,Godoy Cruz,Newells,1,1,,,,,,,,,,,,,,
Apertura 2009,8,4,Colon,Arsenal,4,1,,,,,,,,,,,,,,
Apertura 2009,8,5,Velez,Argentinos,1,0,,,,,,,,,,,,,,
Apertura 2009,8,6,Racing Club,Boca Juniors,1,2,,,,,,,,,,,,,,
Apertura 2009,8,7,Chacarita,San Lorenzo,0,2,,,,,,,,,,,,,,
Apertura 2009,8,8,Rosario Central,Gimnasia (LP),1,1,,,,,,,,,,,,,,
Apertura 2009,8,9,Estudiantes (LP),Lanus,1,1,,,,,,,,,,,,,,
Apertura 2009,8,10,River Plate,Independiente,1,3,,,,,,,,,,,,,,
Apertura 2009,9,1,San Lorenzo,Rosario Central,1,0,,,,,,,,,,,,,,
Apertura 2009,9,2,Lanus,Velez,1,1,,,,,,,,,,,,,,
Apertura 2009,9,3,Gimnasia (LP),Colon,1,2,,,,,,,,,,,,,,
Apertura 2009,9,4,Atl Tucuman,Godoy Cruz,1,1,,,,,,,,,,,,,,
Apertura 2009,9,5,Argentinos,Racing Club,2,0,,,,,,,,,,,,,,
Apertura 2009,9,6,Arsenal,Banfield,1,1,,,,,,,,,,,,,,
Apertura 2009,9,7,Independiente,Chacarita,1,1,,,,,,,,,,,,,,
Apertura 2009,9,8,Huracan,River Plate,0,0,,,,,,,,,,,,,,
Apertura 2009,9,9,Boca Juniors,Tigre,2,1,,,,,,,,,,,,,,
Apertura 2009,9,10,Newells,Estudiantes (LP),2,1,,,,,,,,,,,,,,
Apertura 2009,10,1,Estudiantes (LP),Atl Tucuman,1,0,,,,,,,,,,,,,,
Apertura 2009,10,2,Rosario Central,Independiente,2,0,,,,,,,,,,,,,,
Apertura 2009,10,3,Banfield,Godoy Cruz,3,0,,,,,,,,,,,,,,
Apertura 2009,10,4,Chacarita,Huracan,1,0,,,,,,,,,,,,,,
Apertura 2009,10,5,Racing Club,Lanus,1,1,,,,,,,,,,,,,,
Apertura 2009,10,6,Velez,Newells,1,2,,,,,,,,,,,,,,
Apertura 2009,10,7,Arsenal,Gimnasia (LP),1,0,,,,,,,,,,,,,,
Apertura 2009,10,8,River Plate,Boca Juniors,1,1,,,,,,,,,,,,,,
Apertura 2009,10,9,Tigre,Argentinos,1,1,,,,,,,,,,,,,,
Apertura 2009,10,10,Colon,San Lorenzo,2,1,,,,,,,,,,,,,,
Apertura 2009,11,1,Newells,Racing Club,1,0,,,,,,,,,,,,,,
Apertura 2009,11,2,Atl Tucuman,Velez,1,2,,,,,,,,,,,,,,
Apertura 2009,11,3,Godoy Cruz,Estudiantes (LP),1,2,,,,,,,,,,,,,,
Apertura 2009,11,4,Gimnasia (LP),Banfield,0,1,,,,,,,,,,,,,,
Apertura 2009,11,5,San Lorenzo,Arsenal,3,2,,,,,,,,,,,,,,
Apertura 2009,11,6,Huracan,Rosario Central,1,0,,,,,,,,,,,,,,
Apertura 2009,11,7,Independiente,Colon,3,2,,,,,,,,,,,,,,
Apertura 2009,11,8,Boca Juniors,Chacarita,3,0,,,,,,,,,,,,,,
Apertura 2009,11,9,Lanus,Tigre,4,0,,,,,,,,,,,,,,
Apertura 2009,11,10,Argentinos,River Plate,1,2,,,,,,,,,,,,,,
Apertura 2009,12,1,Velez,Godoy Cruz,2,0,,,,,,,,,,,,,,
